Genus	Local	pFDA
Komagataeibacter	9928615	6119416
Acetobacter	11	16
Gluconobacter	10	2
Neokomagataea	6	0
Roseomonas	4	4
Acidiphilium	3	3
Gluconacetobacter	2	2
Swingsia	1	0
Granulibacter	1	6
Parasaccharibacter	1	1
Azospirillum	21	26
Thalassospira	7	7
Hypericibacter	7	0
Nitrospirillum	6	4
Ferrovibrio	4	0
Magnetospirillum	3	11
Skermanella	3	0
CandidatusEndolissoclinum	3	6
Niveispirillum	2	4
Rhodospirillum	1	3
Indioceanicola	1	0
Bradyrhizobium	3187	3871
Bosea	12	15
Rhodopseudomonas	10	62
Nitrobacter	7	15
Tardiphaga	7	0
Afipia	2	5
Oligotropha	2	4
Rhizobium	39	102
Agrobacterium	25	24
Neorhizobium	5	5
Shinella	5	5
Liberibacter	3	3
Sinorhizobium	3	31
Mesorhizobium	39	31
Aminobacter	7	11
Nitratireductor	3	4
Phyllobacterium	2	5
Salaquimonas	2	0
Hoeflea	1	2
Xanthobacter	21	29
Pseudolabrys	10	16
Azorhizobium	4	6
Ancylobacter	3	0
Labrys	3	0
Starkeya	1	6
Methylobacterium	23	71
Methylorubrum	7	9
Microvirga	3	6
Bartonella	32	51
Rhodoplanes	18	41
Hyphomicrobium	2	7
Pelagibacterium	2	9
Youhaiella	2	0
Rhodomicrobium	1	3
Blastochloris	1	5
Filomicrobium	1	4
Maritalea	1	1
Methylocystis	11	3
Methylosinus	2	11
Ochrobactrum	7	14
Brucella	2	1
Pseudorhodoplanes	4	4
Methyloceanibacter	1	3
Martelella	4	3
Aureimonas	3	3
Methylocella	3	6
Methylovirgula	1	0
Chelatococcus	3	3
Cohaesibacter	1	4
Caulobacter	143	190
Brevundimonas	55	74
Phenylobacterium	24	39
Asticcacaulis	4	3
Sphingomonas	43	58
Sphingobium	32	54
Novosphingobium	21	19
Sphingopyxis	15	28
Tardibacter	7	0
Zymomonas	4	16
Sphingosinicella	3	0
Sphingorhabdus	3	6
Sphingosinithalassobacter	2	0
Citromicrobium	1	2
Blastomonas	1	1
Rhizorhabdus	1	2
Altererythrobacter	13	19
Porphyrobacter	12	7
Erythrobacter	8	15
Croceicoccus	1	1
Paracoccus	37	34
Sulfitobacter	17	13
Labrenzia	10	13
Celeribacter	8	11
Yangia	7	12
Phaeobacter	7	26
Rhodobacter	6	24
Leisingera	5	5
Dinoroseobacter	4	6
Pannonibacter	4	3
Roseovarius	3	0
Paraoceanicella	3	0
Marivivens	3	0
Gemmobacter	2	2
Ruegeria	2	11
Roseivivax	2	0
Defluviimonas	1	1
Stappia	1	13
Epibacterium	1	1
Pelagibaca	1	2
Octadecabacter	1	8
Ketogulonicigenium	1	2
Salipiger	1	4
Silicimonas	1	0
Pseudorhodobacter	1	0
Hyphomonas	3	9
Maricaulis	2	6
Ehrlichia	10	9
Wolbachia	8	8
Rickettsia	8	20
Orientia	3	4
CandidatusSneabacter	2	0
CandidatusMidichloria	2	0
CandidatusDeianiraea	1	0
Phreatobacter	9	1
Polymorphum	3	7
CandidatusPuniceispirillum	1	0
CandidatusPelagibacter	3	3
Emcibacter	4	0
CandidatusNucleicultrix	2	3
CandidatusCytomitobacter	1	0
Parvularcula	1	1
Burkholderia	155164	29043
Cupriavidus	44814	38807
Ralstonia	4499	70
Paraburkholderia	152	120
Pandoraea	42	58
Polynucleobacter	40	74101
Caballeronia	7	0
Lautropia	6	0
Mycoavidus	3	0
Mycetohabitans	3	0
Ephemeroptericola	2	0
Undibacterium	42	0
Massilia	21	29
Janthinobacterium	15	17
Herbaspirillum	14	31
Collimonas	4	11
Noviherbaspirillum	3	0
Herminiimonas	2	2
Variovorax	28	33
Acidovorax	17	29
Hydrogenophaga	9	11
Comamonas	8	13
Delftia	6	14
Rhodoferax	5	4
Ramlibacter	3	18
Melaminivora	2	5
CandidatusSymbiobacter	2	5
Limnohabitans	2	5
Verminephrobacter	2	7
Ottowia	2	7
Polaromonas	2	8
Serpentinomonas	1	0
Curvibacter	1	4
Simplicispira	1	2
Alicycliphilus	1	4
Achromobacter	27	40
Bordetella	20	53
Alcaligenes	5	6
Pelistega	3	0
Pigmentiphaga	3	0
Castellaniella	2	6
Paenalcaligenes	1	0
Basilea	1	1
Methylibium	10	1
Paucibacter	7	10
Mitsuaria	6	2
Leptothrix	4	7
Rubrivivax	4	6
Sphaerotilus	3	0
Inhella	3	0
Thiomonas	1	16
Aquabacterium	1	4
Roseateles	1	9
Neisseria	44	258
Snodgrassella	4	0
Chitinolyticbacter	2	0
Vitreoscilla	1	5
Kingella	1	2
Chromobacterium	5	15
Iodobacter	1	0
Aquaspirillum	4	5
Aquitalea	3	2
Microvirgula	2	1
Nitrosomonas	21	25
Nitrosospira	1	3
CandidatusMethylopumilus	6	0
Methylophilus	2	0
Methylobacillus	1	2
Denitratisoma	3	0
Methyloversatilis	1	5
Sulfuritalea	1	3
Sulfuriferula	2	0
Sulfuricella	1	6
Thiobacillus	1	1
Azoarcus	10	10
Thauera	4	20
Azospira	2	4
Aromatoleum	2	4
CandidatusKinetoplastibacterium	6	3
CandidatusAccumulibacter	2	5
Casimicrobium	1	0
Klebsiella	226661	52
Salmonella	442	38
Escherichia	36	292
Enterobacter	23	646
Citrobacter	19	45
Buttiauxella	18	0
Cedecea	11	7
CandidatusHamiltonella	6	2
CandidatusBlochmannia	4	8
Leclercia	6	9
Kosakonia	5	10
Izhakiella	3	0
Kluyvera	3	1
Raoultella	2	12
Lelliottia	2	6
Cronobacter	1	9
Gibbsiella	1	2
Pluralibacter	1	11
Pantoea	41	37
Buchnera	30	17
Erwinia	27	10
Mixta	9	0
Tatumella	6	3
Serratia	38	79
Yersinia	26	24
Rahnella	4	7
Chania	4	5
CandidatusFukatsuia	3	0
Rouxiella	1	0
Nissabacter	1	0
Providencia	22	28
Proteus	19	13
Xenorhabdus	14	16
Photorhabdus	8	14
Morganella	3	3
Arsenophonus	2	0
Dickeya	18	34
Pectobacterium	11	21
Sodalis	5	10
Brenneria	1	8
Lonsdalea	1	2
Edwardsiella	12	13
Obesumbacterium	3	0
Hafnia	2	4
Plesiomonas	1	1
